plan_index,line_number,motion,movement_type,pcb_x_mm,pcb_y_mm,machine_x_mm,machine_y_mm,programmed_z_mm,surface_z_machine_mm,delta_z_mm,final_z_mm,feed_mm_min,uses_surface_map
175,6,G1,movimiento_lineal,12.0,5.4,112.0,205.4,-0.1,3.4422,0.4422000000000001,3.3422,240.0,True
176,6,G1,movimiento_lineal,12.0,5.5,112.0,205.5,-0.1,3.447,0.44700000000000006,3.347,240.0,True
177,6,G1,movimiento_lineal,12.0,5.6,112.0,205.6,-0.1,3.4518,0.4518,3.3518,240.0,True
178,6,G1,movimiento_lineal,12.0,5.7,112.0,205.7,-0.1,3.4566,0.4566,3.3566,240.0,True
179,6,G1,movimiento_lineal,12.0,5.8,112.0,205.8,-0.1,3.4614000000000003,0.46140000000000003,3.3614,240.0,True
180,6,G1,movimiento_lineal,12.0,5.9,112.0,205.9,-0.1,3.4662,0.46620000000000006,3.3662,240.0,True
181,6,G1,movimiento_lineal,12.0,6.0,112.0,206.0,-0.1,3.471,0.47100000000000003,3.371,240.0,True
182,6,G1,movimiento_lineal,12.0,6.1,112.0,206.1,-0.1,3.4758,0.4758,3.3758,240.0,True
183,6,G1,movimiento_lineal,12.0,6.2,112.0,206.2,-0.1,3.4806,0.4806,3.3806,240.0,True
184,6,G1,movimiento_lineal,12.0,6.3,112.0,206.3,-0.1,3.4854000000000003,0.48540000000000005,3.3854,240.0,True
185,6,G1,movimiento_lineal,12.0,6.4,112.0,206.4,-0.1,3.4902,0.4902000000000001,3.3902,240.0,True
186,6,G1,movimiento_lineal,12.0,6.5,112.0,206.5,-0.1,3.495,0.495,3.395,240.0,True
187,6,G1,movimiento_lineal,12.0,6.6,112.0,206.6,-0.1,3.4998,0.49979999999999997,3.3998,240.0,True
188,6,G1,movimiento_lineal,12.0,6.7,112.0,206.7,-0.1,3.5046,0.5045999999999999,3.4046,240.0,True
189,6,G1,movimiento_lineal,12.0,6.8,112.0,206.8,-0.1,3.5094000000000003,0.5094000000000001,3.4094,240.0,True
190,6,G1,movimiento_lineal,12.0,6.9,112.0,206.9,-0.1,3.5141999999999998,0.5142,3.4141999999999997,240.0,True
191,6,G1,movimiento_lineal,12.0,7.0,112.0,207.0,-0.1,3.519,0.519,3.419,240.0,True
192,6,G1,movimiento_lineal,12.0,7.1,112.0,207.1,-0.1,3.525,0.525,3.425,240.0,True
193,6,G1,movimiento_lineal,12.0,7.2,112.0,207.2,-0.1,3.5309999999999997,0.5309999999999999,3.4309999999999996,240.0,True
194,6,G1,movimiento_lineal,12.0,7.3,112.0,207.3,-0.1,3.537,0.537,3.437,240.0,True
195,6,G1,movimiento_lineal,12.0,7.4,112.0,207.4,-0.1,3.543,0.543,3.443,240.0,True
196,6,G1,movimiento_lineal,12.0,7.5,112.0,207.5,-0.1,3.549,0.5489999999999999,3.449,240.0,True
197,6,G1,movimiento_lineal,12.0,7.6,112.0,207.6,-0.1,3.555,0.555,3.455,240.0,True
198,6,G1,movimiento_lineal,12.0,7.7,112.0,207.7,-0.1,3.561,0.5609999999999999,3.461,240.0,True
199,6,G1,movimiento_lineal,12.0,7.8,112.0,207.8,-0.1,3.567,0.5670000000000001,3.467,240.0,True
200,6,G1,movimiento_lineal,12.0,7.9,112.0,207.9,-0.1,3.573,0.5730000000000001,3.473,240.0,True
201,6,G1,movimiento_lineal,12.0,8.0,112.0,208.0,-0.1,3.5789999999999997,0.579,3.4789999999999996,240.0,True
202,7,G1,movimiento_lineal,11.9,8.0,111.9,208.0,-0.1,3.5738000000000003,0.5738000000000001,3.4738,240.0,True
203,7,G1,movimiento_lineal,11.8,8.0,111.8,208.0,-0.1,3.5686,0.5686,3.4686,240.0,True
204,7,G1,movimiento_lineal,11.7,8.0,111.7,208.0,-0.1,3.5633999999999997,0.5633999999999999,3.4633999999999996,240.0,True
